ct;epad;epan;ewad;ewan;emad;eman
470300;1986;286;1104;196;882;90
470400;1635;222;906;145;729;77
470501;1273;155;705;103;568;52
470502;1667;208;906;146;761;62
470600;1353;225;718;160;635;65
471000;498;82;262;55;236;27
472100;1141;169;618;110;523;59
472200;984;134;512;81;472;53
472300;784;118;430;85;354;33
472400;1039;121;546;83;493;38
473100;2458;329;1319;207;1139;122
473200;1604;218;912;145;692;73
473300;3156;397;1738;273;1418;124
473401;1922;260;1000;153;922;107
473402;1797;241;950;158;847;83
473500;1983;212;1029;131;954;81
473601;2083;270;1116;174;967;96
473602;2442;332;1348;224;1094;108
474101;2286;236;1188;145;1098;91
474102;2071;215;1074;138;997;77
474201;1452;170;752;115;700;55
474202;2817;352;1458;224;1359;128
474203;2646;292;1378;183;1268;109
475101;2523;361;1430;251;1093;110
475102;958;119;485;74;473;45
475200;2848;353;1508;216;1340;137
475301;2458;336;1329;218;1129;118
475303;2439;303;1300;203;1139;100
475304;2996;384;1591;251;1405;133
475401;2180;309;1167;193;1013;116
475402;1757;223;940;142;817;81
476100;2293;353;1277;244;1016;109
476200;1735;261;952;180;783;81
477100;2073;296;1124;193;949;103
477200;2481;355;1365;232;1116;123
477300;3047;360;1583;242;1464;118
478100;2060;315;1086;210;974;105
478200;2934;431;1557;296;1377;135
479000;1101;165;601;115;500;50
480101;2601;417;1364;292;1237;125
480102;1730;233;951;151;779;82
480200;1950;240;1017;147;933;93
480300;1956;262;1042;185;914;77
480400;2743;391;1500;269;1243;122
481000;1403;232;782;171;621;61
482500;1016;149;554;108;462;41
483800;1172;214;693;143;479;71
484300;1501;253;821;150;680;103
484500;3223;490;1756;327;1467;163
484600;1085;180;627;128;458;52
485000;587;106;330;62;257;44
486700;810;128;495;88;315;40
486800;678;95;363;58;315;37
486900;573;82;329;53;244;29
487000;909;171;492;115;417;56
488100;1171;164;628;120;543;44
488200;1678;235;950;163;728;72
488300;1149;170;623;117;526;53
488400;2301;379;1322;267;979;112
488500;1481;230;797;153;684;77
488600;2544;383;1427;275;1117;108
489001;2585;332;1425;216;1160;116
489002;2184;283;1146;174;1038;109
490002;2498;344;1350;212;1148;132
490003;2040;251;1050;160;990;91
490004;2887;371;1531;242;1356;129
491101;4083;474;2138;316;1945;158
491200;1076;158;589;106;487;52
492700;797;152;447;104;350;48
492800;1101;150;652;108;449;42
492900;893;150;506;98;387;52
494000;702;109;400;76;302;33
495000;1005;174;533;118;472;56
496101;1802;261;962;179;840;82
496102;2561;389;1366;248;1195;141
496200;3178;443;1708;315;1470;128
